Match Type	Search term	Added/Excluded	Campaign	Ad group	Keyword	Clicks	Impressions	CTR	Avg. CPC	Cost	Avg. position	Converted clicks	Cost / converted click	Click conversion rate
broad	lease a car hippo	None	Hippo Leasing	Hippo Leasing (Generic)	hippo vehicle leasing	1	1	100.00%	0.53	0.53	1	0	0	0.00%
phrase (close variant)	car lease uk 1 year	None	Hippo Leasing	Hippo Leasing (Generic)	"""car leasing uk"""	1	1	100.00%	0.74	0.74	1	0	0	0.00%
broad	cars for bad credit	None	Bad Credit Leasing	Bad Credit	lease car bad credit	0	3	0.00%	0	0	8.7	0	0	0.00%
broad	lease hire for bad credit	None	Bad Credit Leasing	Bad Credit	lease cars bad credit	2	2	100.00%	1.2	2.4	2.5	0	0	0.00%
broad	cars for 100 a month no deposit	None	No Deposit Deals	No Deposit Deals	no deposit cars	1	2	50.00%	0.21	0.21	1	0	0	0.00%
broad	fiat leasing	Added	Fiat Punto	Fiat Punto	leasing Fiat Punto	0	1	0.00%	0	0	4	0	0	0.00%
broad	bad credit lease astra gtc	None	Bad Credit Leasing	Bad Credit	bad credit car leasing	1	1	100.00%	0.76	0.76	2	0	0	0.00%
broad	loan car leasing	None	Generic Car Leasing	Car leasing	car lease financing	1	3	33.33%	0.76	0.76	3.3	0	0	0.00%
broad	hippo vehicle	None	Hippo Leasing	Hippo Leasing (Generic)	hippo car lease	1	2	50.00%	0.64	0.64	1	0	0	0.00%
broad	car lease 200 per month	None	No Deposit Deals	No Deposit Deals	cheap car leasing deals	1	2	50.00%	0.79	0.79	2	0	0	0.00%
broad	car lease with insurance included	None	Generic Car Leasing	Used Car Leasing	used car lease hire	1	1	100.00%	0.2	0.2	3	0	0	0.00%
broad	jobs at hippo leasing	None	Hippo Leasing	Hippo Leasing (Generic)	hippo car leasing	1	1	100.00%	0.19	0.19	1	0	0	0.00%
broad	car lease poor credit rating	None	Bad Credit Leasing	Bad Credit	lease cars bad credit	4	14	28.57%	1.16	4.62	2.6	1	4.62	25.00%
phrase	vauxhall corsa lease guildford	None	Vauxhall Corsa	Vauxhall Corsa (1.4 SXI)	"""vauxhall corsa lease"""	1	1	100.00%	0.6	0.6	2	0	0	0.00%
broad	in stock personal car lease	None	Bad Credit Leasing	Quick Cars	quick car lease	1	1	100.00%	0.6	0.6	1	0	0	0.00%
broad	business car leasing stock	None	Bad Credit Leasing	Quick Cars	car lease in stock	1	1	100.00%	0.32	0.32	4	0	0	0.00%
broad (session-based)	lease to buy	None	Bad Credit Leasing	Bad Credit	lease cars bad credit	2	4	50.00%	1.14	2.28	1.3	0	0	0.00%
phrase	leasing vauxhall astra van	None	Vauxhall Astra	Vauxhall Astra (Diesel)	"""leasing vauxhall astra"""	1	3	33.33%	0.78	0.78	3.3	0	0	0.00%
broad	car lease sunderland	None	No Deposit Deals	No Deposit Deals	zero deposit car lease	1	1	100.00%	0.55	0.55	1	0	0	0.00%
